,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
82,+Linda,Dalex,+Linda,2020-04-20,0.3069758658458285,0.7903225806451613,0.131,0.66,0.503,0.0,0.13,0.8031469513908401,0.6861784998887158,0.396,0.943793844761258,4,5cBrOhKDyiJF9bPGUHKkG0,2020
83,Calls from Berlin,Midnight Steak,Calls from Berlin,2020-06-08,0.171960569550931,0.016129032258064516,0.785,0.68,0.24,0.0182,0.135,0.3267771846024164,0.08479857556198532,0.133,0.038913404239269776,4,4OWFKyIuXMuDmdPq5ws7E5,2020
84,Confía,Sech,1 of 1,2020-05-21,0.4601654265966688,0.7096774193548387,0.17,0.722,0.757,1.31e-05,0.0657,0.9104242764821581,0.10349432450478524,0.763,0.8692200346986497,4,5kbps8unnGH4raN5WduZuq,2020
85,Breakfast,Satsuto,Breakfast,2020-06-12,0.13824451410658306,0.0,0.778,0.663,0.185,0.276,0.138,0.46490587243607756,0.18317382595148013,0.264,0.832060420909708,4,43F6jEYYPuz9r4hRoTz5HS,2020
86,If the World Was Ending - feat. Julia Michaels,JP Saxe,If the World Was Ending (feat. Julia Michaels),2019-10-17,0.48425803527589983,0.8225806451612904,0.866,0.464,0.473,0.0,0.109,0.545490306265805,0.21655909192076564,0.604,0.0,4,2kJwzbxV2ppxnQoYw4GLBZ,2019
87,Vete,Bad Bunny,Vete,2019-11-21,0.421324168145938,0.6935483870967742,0.0363,0.886,0.672,8.78e-06,0.101,0.8653554369204833,0.3478744713999555,0.526,0.15251376631213695,4,5DxXgozhkPLgrbKFY91w0c,2019
88,PTSD,G Herbo,PTSD,2020-02-28,0.5725497601692034,0.7258064516129032,0.0317,0.883,0.808,0.0,0.207,0.9348131497611688,0.33674604941019365,0.805,0.40743569435015464,4,3jT2LKH0RSbQ8jIUNFzXm5,2020
89,Early Morning Without Coffee,KÖWE,Early Morning Without Coffee,2020-06-20,0.12263851644823809,0.04838709677419355,0.236,0.672,0.213,0.771,0.267,0.5349817364428211,0.052748720231471175,0.282,0.08686920117673676,4,71eIu0IMCqCQJheFErvbiD,2020
90,I Need A Doctor,Dr. Dre,I Need A Doctor,2011-02-01,0.7676964912943309,0.5645161290322581,0.0869,0.594,0.946,0.0,0.306,0.8582186007305422,0.9354551524593813,0.397,0.7545541977823036,4,70ATm56tH7OrQ1zurYssz0,2011
91,Easy,Satsuto,Easy,2020-06-20,0.0,0.03225806451612903,0.788,0.774,0.22,0.546,0.212,0.4457431862882832,0.1506788337413755,0.501,0.888077996530135,4,1g4wvMjdWY10boowNLbM6K,2020
92,EARFQUAKE,"Tyler, The Creator",IGOR,2019-05-17,0.41392907051403105,0.7258064516129032,0.23,0.554,0.498,5.98e-06,0.795,0.6140488901376792,0.08190518584464725,0.413,0.03615071283095726,4,5hVghJ4KaYES3BFUATCYn0,2019
93,CANCIÓN CON YANDEL,Bad Bunny,LAS QUE NO IBAN A SALIR,2020-05-10,0.4861200287041583,0.7258064516129032,0.447,0.75,0.741,0.0,0.121,0.8633323967406575,0.8241709325617628,0.495,0.03929056347589954,4,3pm4XtcsRIFFtH2UErk62R,2020
94,Down with the Sickness,Disturbed,The Sickness,2000-03-07,0.7506250708161801,0.6290322580645161,0.000996,0.695,0.876,6.89e-06,0.106,0.8727732509131779,0.05252615179167595,0.941,0.13344836690050532,4,40rvBMQizxkIqnjPdEWY1v,2000
95,Singapur,El Alfa,El Androide,2020-05-15,0.36989462552403973,0.7741935483870968,0.0522,0.853,0.909,0.0223,0.129,0.9733071087384098,0.4391275317160027,0.803,0.35062608433280523,4,4QfZYDhGZc0T2RDvGiI69E,2020
96,P2,Lil Uzi Vert,Eternal Atake,2020-03-06,0.5822260830154473,0.7096774193548387,0.0236,0.775,0.72,0.0,0.114,0.8114638943523462,0.35900289338971736,0.49,0.7475767519046542,4,3kW4z2pIj5VY5fLjBrMRL5,2020
97,Ignorantes,Bad Bunny,Ignorantes,2020-02-14,0.49150583525323865,0.7096774193548387,0.267,0.85,0.536,3.89e-05,0.0996,0.8222534419780838,0.06276430002225686,0.505,0.1907294259636418,4,3wYRLYuO1M88d8woWUIxct,2020
98,History,Satsuto,History,2020-06-11,0.19462174717679495,0.0,0.775,0.742,0.246,0.856,0.0513,0.2522056757516156,0.038949476964166486,0.191,0.1338632420607981,4,4rR61I6kR233fBiBKFmRsJ,2020
