,Position,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,artist_id,artist_followers,artist_popularity
46,34,Ignorantes,Bad Bunny,127534,2020-04-29,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
47,31,Ignorantes,Bad Bunny,127845,2020-04-30,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
48,37,Ignorantes,Bad Bunny,129898,2020-05-01,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
49,38,Ignorantes,Bad Bunny,140864,2020-05-02,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
50,37,Ignorantes,Bad Bunny,134097,2020-05-03,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
51,36,Ignorantes,Bad Bunny,132304,2020-05-04,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
52,34,Ignorantes,Bad Bunny,137427,2020-05-05,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
53,34,Ignorantes,Bad Bunny,137824,2020-05-06,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
54,34,Ignorantes,Bad Bunny,132856,2020-05-07,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
55,34,Ignorantes,Bad Bunny,133888,2020-05-08,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
56,34,Ignorantes,Bad Bunny,129109,2020-05-09,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
57,39,Ignorantes,Bad Bunny,117493,2020-05-10,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
58,42,Ignorantes,Bad Bunny,124701,2020-05-11,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
59,48,Ignorantes,Bad Bunny,109044,2020-05-12,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
60,50,Ignorantes,Bad Bunny,109863,2020-05-13,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
61,5,BYE ME FUI,Bad Bunny,277529,2020-05-10,0FktnzDqjClqU6iqOZVEs2,2020,1220018,LAS QUE NO IBAN A SALIR,2020-05-10,178000,83,0.412,0.712,0.599,2.15e-05,0.103,-6.342,0.112,0.588,179.788,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
62,6,BYE ME FUI,Bad Bunny,428076,2020-05-11,0FktnzDqjClqU6iqOZVEs2,2020,1220018,LAS QUE NO IBAN A SALIR,2020-05-10,178000,83,0.412,0.712,0.599,2.15e-05,0.103,-6.342,0.112,0.588,179.788,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
63,6,BYE ME FUI,Bad Bunny,280307,2020-05-12,0FktnzDqjClqU6iqOZVEs2,2020,1220018,LAS QUE NO IBAN A SALIR,2020-05-10,178000,83,0.412,0.712,0.599,2.15e-05,0.103,-6.342,0.112,0.588,179.788,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
64,12,BYE ME FUI,Bad Bunny,234106,2020-05-13,0FktnzDqjClqU6iqOZVEs2,2020,1220018,LAS QUE NO IBAN A SALIR,2020-05-10,178000,83,0.412,0.712,0.599,2.15e-05,0.103,-6.342,0.112,0.588,179.788,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
65,29,Blanco,J Balvin,129339,2020-03-14,2rc7BkzO8qepMFAxHtOrXc,2020,791029,Blanco,2019-11-15,145800,77,0.0253,0.87,0.706,0.0063,0.0872,-5.395,0.126,0.593,100.013,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
66,29,Blanco,J Balvin,121120,2020-03-15,2rc7BkzO8qepMFAxHtOrXc,2020,791029,Blanco,2019-11-15,145800,77,0.0253,0.87,0.706,0.0063,0.0872,-5.395,0.126,0.593,100.013,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
67,30,Blanco,J Balvin,128703,2020-03-16,2rc7BkzO8qepMFAxHtOrXc,2020,791029,Blanco,2019-11-15,145800,77,0.0253,0.87,0.706,0.0063,0.0872,-5.395,0.126,0.593,100.013,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
68,30,Blanco,J Balvin,134500,2020-03-17,2rc7BkzO8qepMFAxHtOrXc,2020,791029,Blanco,2019-11-15,145800,77,0.0253,0.87,0.706,0.0063,0.0872,-5.395,0.126,0.593,100.013,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
69,28,Blanco,J Balvin,137406,2020-03-18,2rc7BkzO8qepMFAxHtOrXc,2020,791029,Blanco,2019-11-15,145800,77,0.0253,0.87,0.706,0.0063,0.0872,-5.395,0.126,0.593,100.013,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
70,26,Blanco,J Balvin,139961,2020-03-19,2rc7BkzO8qepMFAxHtOrXc,2020,791029,Blanco,2019-11-15,145800,77,0.0253,0.87,0.706,0.0063,0.0872,-5.395,0.126,0.593,100.013,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
71,13,Verde,J Balvin,287790,2020-03-20,3HTbI3yUJQw3fP0Po8qLcD,2020,3278020,Colores,2020-03-19,142546,75,0.0381,0.828,0.738,0.473,0.0917,-4.295,0.0516,0.818,94.995,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
72,19,Verde,J Balvin,184966,2020-03-21,3HTbI3yUJQw3fP0Po8qLcD,2020,3278020,Colores,2020-03-19,142546,75,0.0381,0.828,0.738,0.473,0.0917,-4.295,0.0516,0.818,94.995,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
73,23,Verde,J Balvin,155312,2020-03-22,3HTbI3yUJQw3fP0Po8qLcD,2020,3278020,Colores,2020-03-19,142546,75,0.0381,0.828,0.738,0.473,0.0917,-4.295,0.0516,0.818,94.995,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
74,26,Verde,J Balvin,150937,2020-03-23,3HTbI3yUJQw3fP0Po8qLcD,2020,3278020,Colores,2020-03-19,142546,75,0.0381,0.828,0.738,0.473,0.0917,-4.295,0.0516,0.818,94.995,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
75,29,Verde,J Balvin,132599,2020-03-24,3HTbI3yUJQw3fP0Po8qLcD,2020,3278020,Colores,2020-03-19,142546,75,0.0381,0.828,0.738,0.473,0.0917,-4.295,0.0516,0.818,94.995,4,latin,reggaeton,reggaeton colombiano,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,21252219,95
