,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,genres_together,artist_id,Artist,artist_followers,artist_popularity
89,latin arena pop,pop flamenco,spanish pop,spanish pop rock,,,,,,,,"latin arena pop,pop flamenco,spanish pop,spanish pop rock",5kSJMVPcTITrSZxTrHllVN,Vanesa Martín,683085,0.7
90,latin pop,viral pop,,,,,,,,,,"latin pop,viral pop",6i3DxIlAqnDkwELLw4aVrx,Lele Pons,626177,0.76
91,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,,,"latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop",2bxxlINUlcMQQb39K7IopR,Abraham Mateo,1182007,0.69
92,dance pop,latin,latin pop,mexican pop,puerto rican pop,,,,,,,"dance pop,latin,latin pop,mexican pop,puerto rican pop",7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,5718863,0.78
93,ohio hip hop,pop rap,,,,,,,,,,"ohio hip hop,pop rap",6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,3057149,0.89
94,modern rock,permanent wave,rock,,,,,,,,,"modern rock,permanent wave,rock",0C0XlULifJtAgn6ZNCW2eu,The Killers,5807484,0.81
95,spanish indie pop,spanish pop,,,,,,,,,,"spanish indie pop,spanish pop",5Q30fhTc0Sl0Q4C5dOjhhQ,La La Love You,36233,0.57
96,classic uk pop,europop,new wave pop,rock-and-roll,rockabilly,,,,,,,"classic uk pop,europop,new wave pop,rock-and-roll,rockabilly",0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,91596,0.66
97,latin,panamanian pop,reggaeton,trap latino,,,,,,,,"latin,panamanian pop,reggaeton,trap latino",77ziqFxp5gaInVrF2lj4ht,Sech,7079729,0.9
98,flamenco urbano,pop flamenco,rumba,spanish hip hop,spanish pop,,,,,,,"flamenco urbano,pop flamenco,rumba,spanish hip hop,spanish pop",2dkbKcHXhN7ooFBdqAV76G,Nyno Vargas,185349,0.6
99,eurovision,,,,,,,,,,,eurovision,64PgkSM1uDD9BJEg0UkMMM,Ilinca,2156,0.3
100,rap underground espanol,spanish hip hop,,,,,,,,,,"rap underground espanol,spanish hip hop",56n1NeXsTOOxjX3Z4lVMTJ,SFDK,489682,0.64
101,latin,latin pop,pop venezolano,reggaeton,trap latino,tropical,,,,,,"latin,latin pop,pop venezolano,reggaeton,trap latino,tropical",5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,2697654,0.78
102,edm,electropop,indie poptimism,pop,pop dance,pop edm,tropical house,,,,,"edm,electropop,indie poptimism,pop,pop dance,pop edm,tropical house",7hOGhpa8RMSuDOWntGIAJt,A R I Z O N A,348013,0.68
103,rap espanol,spanish hip hop,,,,,,,,,,"rap espanol,spanish hip hop",5dC7EcwWdf9Qj4VvJab4rZ,fernandocosta,198671,0.63
104,rap boricua,,,,,,,,,,,rap boricua,1MVP5iQH6wMKZuOn41UHOB,Jey Blessing,2073,0.51
105,cantautor,granada indie,latin rock,spanish indie pop,spanish rock,,,,,,,"cantautor,granada indie,latin rock,spanish indie pop,spanish rock",3mOsjj1MhocRVwOejIZlTi,Lori Meyers,210867,0.54
106,colombian pop,latin pop,pop reggaeton,reggaeton,reggaeton colombiano,,,,,,,"colombian pop,latin pop,pop reggaeton,reggaeton,reggaeton colombiano",1vrahybrKylgwkjhbmOz94,Yera,38002,0.67
107,electro latino,flamenco urbano,pop flamenco,,,,,,,,,"electro latino,flamenco urbano,pop flamenco",1uh9OOdPa89c5zPaOD6K2N,Rasel,119643,0.53
108,cantautor,latin rock,spanish indie pop,,,,,,,,,"cantautor,latin rock,spanish indie pop",6VCoG3MG7ZKRxDjaYOvtrF,Love of Lesbian,477030,0.63
109,country rap,lgbtq+ hip hop,pop rap,queer country,,,,,,,,"country rap,lgbtq+ hip hop,pop rap,queer country",7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,3991644,0.83
110,hollywood,show tunes,,,,,,,,,,"hollywood,show tunes",5F1aoppMtU3OMiltO8ymJ2,Hugh Jackman,545938,0.75
111,pop rap,,,,,,,,,,,pop rap,2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,3412210,0.82
112,corrido,duranguense,regional mexican,,,,,,,,,"corrido,duranguense,regional mexican",2aZtzjAzD8fq3OhZ9egqda,Alacranes Musical,435377,0.63
113,latin,latin arena pop,latin pop,spanish pop,,,,,,,,"latin,latin arena pop,latin pop,spanish pop",2KxjMGXFgX1vt9grpbD3xI,Dvicio,769455,0.69
114,latin,latin arena pop,latin pop,spanish pop,spanish pop rock,,,,,,,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock",4LbuSjHhhAddvN44qXpRJo,Amaia Montero,764805,0.61
115,dance pop,girl group,hip pop,pop,r&b,urban contemporary,,,,,,"dance pop,girl group,hip pop,pop,r&b,urban contemporary",1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,4584868,0.76
116,british soul,pop,pop soul,uk pop,,,,,,,,"british soul,pop,pop soul,uk pop",4dpARuHxo51G3z768sgnrY,Adele,25457568,0.85
117,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",4rVronLhqEXcfu8CjCmLQv,Marta Sango,20416,0.38
118,electro bailando,flamenco urbano,,,,,,,,,,"electro bailando,flamenco urbano",0YX8LuMQAh6ousnyhwXbkz,El Jhota,9644,0.56
119,adult standards,rock-and-roll,rockabilly,,,,,,,,,"adult standards,rock-and-roll,rockabilly",43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,5074656,0.82
120,dance pop,edm,electro house,pop,pop dance,pop edm,tropical house,,,,,"dance pop,edm,electro house,pop,pop dance,pop edm,tropical house",6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,402282,0.74
121,pop rap,rap,trap,virginia hip hop,,,,,,,,"pop rap,rap,trap,virginia hip hop",5M0lbkGluOPXLeFjApw8r8,Shelley FKA DRAM,793757,0.66
122,,,,,,,,,,,,,2JpxbX8qRCC9v1aGzW32z0,Marina Jade,4464,0.13
123,eurovision,latin talent show,,,,,,,,,,"eurovision,latin talent show",2W9Bqi3EV1GXFkCOvE3oSE,Julia Medina,41044,0.45
124,musica catalana,,,,,,,,,,,musica catalana,7fUEi9sgiLw8gwQ307T6IU,Stay Homas,63675,0.61
125,,,,,,,,,,,,,6vCUVamGXt80cbXeh62VTr,DJDURAN,1163,0.15
126,eurovision,,,,,,,,,,,eurovision,3LLNDXrxL4uxXtnUJS5XWM,Alexander Rybak,102550,0.53
127,musica para ninos,,,,,,,,,,,musica para ninos,0c2KfzRxChNVQBojuWKAb6,Parchis,36275,0.52
128,cubaton,latin,latin hip hop,latin pop,tropical,,,,,,,"cubaton,latin,latin hip hop,latin pop,tropical",2cy1zPcrFcXAJTP0APWewL,Gente De Zona,1326067,0.74
129,reggaeton colombiano,,,,,,,,,,,reggaeton colombiano,7A02nc5WKMBLqSKXxGZ4o8,Llane,33546,0.67
130,latin talent show,,,,,,,,,,,latin talent show,0JoFdUO6q5ZRdnfRADpRiJ,Alfonso La Cruz,7886,0.24
131,argentine hip hop,trap argentino,trap latino,,,,,,,,,"argentine hip hop,trap argentino,trap latino",01m2XZ7m7rAz6KY3scTdaV,Neo Pistea,720031,0.69
132,broadway,show tunes,,,,,,,,,,"broadway,show tunes",2E0WuV49YeVlDWrmLf4jKK,Steve Kazee,7032,0.52
133,,,,,,,,,,,,,0fFgT6tqYswF6TozhqaEJF,Lion Music,251,0.3
