,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
83,All Falls Down (feat. Juliander),Alan Walker,All Falls Down (feat. Juliander),2017-10-27,0.35813046718359093,0.6947368421052632,0.303,0.658,0.678,0.0,0.361,0.8365789308373642,0.08089260808926081,0.662,0.4618960290782917,4,5yFSF6qQA1rcLsQRnBsZgb,2017
84,Échame La Culpa - Operación Triunfo 2018,Alfonso La Cruz,Échame La Culpa (Operación Triunfo 2018),2018-09-26,0.23586295001685623,0.16842105263157894,0.0482,0.654,0.853,0.0,0.133,0.8445882279037628,0.2287308228730823,0.842,0.9048261101184724,4,1fYxbJ0S3MZwY6MiWqYoDy,2018
85,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,Power To The People - The Hits,2010-10-04,0.39088699231710994,0.2,0.318,0.328,0.607,0.0,0.765,0.627112255794962,0.04393305439330544,0.395,0.6908310036442152,3,3zJw3rugfpVrmBeDDnUYzy,2010
86,Come Away With Me,Norah Jones,Come Away With Me,2002-02-26,0.35599017015915824,0.7368421052631579,0.904,0.363,0.129,1.52e-06,0.157,0.5257239776367862,0.04490934449093445,0.147,0.37888052348468065,3,0Cvjlph1WGbwZY1PlMEtJY,2002
87,Do They Know It's Christmas? - 1984 Version,Band Aid 20,Do They Know Its Christmas?,2004-01-01,0.41007869195691904,0.0,0.164,0.599,0.642,3.33e-05,0.0992,0.7571455493435517,0.050627615062761505,0.349,0.5440959470480914,4,1hvpDAxZPKjKztOc72sv06,2004
88,Entre Tú y Yo,Chema Rivas,Entre Tú y Yo,2020-02-13,0.4133323870189322,0.6,0.288,0.854,0.669,0.0,0.221,0.8114831333626484,0.08605299860529986,0.484,0.5658339501312954,4,1nxlRYbM2Ral4im0LExtZY,2020
89,Rutina,Myke Towers,Rutina,2019-12-13,0.3983081672847283,0.6736842105263158,0.553,0.834,0.75,6.59e-05,0.263,0.8870846158678309,0.2510460251046025,0.858,0.45248612793882625,4,3YntiCUU0Xqq0B68FM3YAt,2019
90,You've Got The Love,Florence + The Machine,Lungs (Deluxe Edition),2009,0.2906057595060239,0.6210526315789474,0.00455,0.574,0.704,0.0,0.107,0.8267479113009611,0.044490934449093446,0.368,0.5185770117435189,4,6u9RqxALwkjJ1ukB1y8vuP,2009
91,my strange addiction,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.31549752479639454,0.7894736842105263,0.35,0.939,0.305,0.000169,0.105,0.6310069727997991,0.49372384937238495,0.563,0.4715746498394754,4,3Tc57t9l2O8FwQZtQOvPXK,2019
92,Soy Una Gargola,Rauw Alejandro,Afrodisíaco,2020-11-13,0.4695412445217268,0.8,0.131,0.836,0.711,0.0,0.401,0.868930209183994,0.27196652719665276,0.618,0.44331194576578026,4,4bEwaORm2IBfu3omjEna7I,2020
93,Tú Me Obligaste,Antonio José,Tú Me Obligaste,2017-05-05,0.36839058535460173,0.3157894736842105,0.124,0.731,0.822,0.0,0.234,0.8279728626169985,0.09818688981868899,0.618,0.44769160416185405,4,5U7QqXgVywqKhjPoVZcRlu,2017
94,Se Fuerte,Bryant Myers,Bendecido,2020-10-30,0.38915922922692026,0.5894736842105263,0.187,0.727,0.546,0.0,0.0822,0.7606633582511465,0.2510460251046025,0.508,0.37740963713422315,4,4C6Oqa5XB6bcH54sqOEiGk,2020
95,Adore You,Harry Styles,Fine Line,2019-12-13,0.3759226565411026,0.8947368421052632,0.0237,0.676,0.771,7e-06,0.102,0.8595703247691437,0.06736401673640167,0.569,0.4669498437183253,4,3jjujdWJ72nww5eGnfs2E7,2019
96,High Hopes,Panic! At The Disco,Pray for the Wicked,2018-06-22,0.34002111464007523,0.8631578947368421,0.193,0.579,0.904,0.0,0.064,0.8892832464350776,0.08619246861924687,0.681,0.38664510623853815,4,1rqqCSm0Qe4I9rUvWncaom,2018
97,Starman - Operación Triunfo 2017,Amaia,Starman (Operación Triunfo 2017),2018-02-05,0.12712698947816675,0.1368421052631579,0.16,0.627,0.696,9.18e-05,0.0704,0.8322758967271814,0.04170153417015342,0.583,0.47082977790558983,4,2SlSdJIwcQdwSbHCjfOtKO,2018
98,YA TE AVISÉ,Paula Cendejas,YA TE AVISÉ,2019-06-05,0.3029906492308238,0.3368421052631579,0.249,0.718,0.605,8.05e-05,0.128,0.8001130724291727,0.28591352859135283,0.504,0.4332043164857131,4,0VPT6bnlXk78wODLmgYRpL,2019
99,Ponte Pa' Mi,Rauw Alejandro,Afrodisíaco,2020-11-13,0.32363065348923864,0.631578947368421,0.394,0.808,0.625,0.0,0.148,0.8188642502669766,0.22315202231520226,0.647,0.4007976729823636,4,1dt2lHi5RCMPuxz4VxKYgi,2020
100,Booty,C. Tangana,Booty,2018-10-24,0.30103000408098085,0.6631578947368421,0.0167,0.825,0.771,2.04e-06,0.0901,0.8457189521954896,0.11213389121338913,0.718,0.48523692113314826,4,4W3FJapn5CD6Fnrlfj4HFe,2018
101,Alfa y omega,Natos y Waor,Cicatrices,2018-02-13,0.3362151564080271,0.45263157894736844,0.0807,0.721,0.606,0.0,0.11,0.7601608141214901,0.2496513249651325,0.0804,0.6127703107247416,4,260fBuGy4zZwHVHtd9YtLL,2018
